Ready to start running t4 compiled at 15:19:39:
	- App: artifapp2 benchmark
	- Start address 0x00000000

Press any key to start...
Sampling 1x. Running...
TPA_PROF: Application TMG profile (number of MBBs: 101)...
TPA_PROF: MBB = 1 | t_time = 175
TPA_PROF: MBB = 93 | t_time = 86955
TPA_PROF: 	0->93 | n_time = 1000
TPA_PROF: MBB = 94 | t_time = 87935
TPA_PROF: 	0->94 | n_time = 980
TPA_PROF: MBB = 95 | t_time = 88965
TPA_PROF: 	0->95 | n_time = 1030
TPA_PROF: MBB = 96 | t_time = 90005
TPA_PROF: 	0->96 | n_time = 1040
TPA_PROF: MBB = 97 | t_time = 90885
TPA_PROF: 	0->97 | n_time = 880
TPA_PROF: MBB = 98 | t_time = 92065
TPA_PROF: 	0->98 | n_time = 1180
TPA_PROF: MBB = 99 | t_time = 93030
TPA_PROF: 	0->99 | n_time = 965
TPA_PROF: MBB = 100 | t_time = 94090
TPA_PROF: 	0->100 | n_time = 1060
artifapp2 benchmark run smoothly...
Press any key to restart...
